price_t,bedrooms,bathrooms,sqft_living_t,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement_t,yr_built,yr_renovated,zip_range3,zip1,zip2,zip3,year_1,year_2,log_sqft_lot,price,sqft_living,sqft_basement
390500,2,1.75,1460,426450,1,0,0,5,7,960,1,1966,0,1,1,0,0,0,0,12.96325041,390500,1460,500
302000,2,1,900,423838,1,0,2,5,6,900,0,1925,0,1,1,0,0,0,0,12.95710659,302000,900,0
858000,4,3.5,4234.5,422967,1,0,2,4,10,2580,1,1978,0,1,1,0,0,0,0,12.95504944,858000,4370,1790
1129574,4,3.25,3890,422096,1.5,0,0,3,9,3150,1,2001,0,2,0,1,0,0,0,12.95298806,1130000,3890,740
472000,3,2.5,1860,415126,2,0,0,3,7,1860,0,2006,0,2,0,1,0,0,1,12.93633737,472000,1860,0
495000,4,3,3620,403693,2,0,2,3,9,3620,0,1980,0,1,1,0,0,0,0,12.90840997,495000,3620,0
474000,2,1,1050,403365,1,0,3,5,6,1050,0,1905,0,1,1,0,0,0,0,12.90759714,474000,1050,0
835000,2,3.25,3570,392475,1,0,0,3,9,2370,1,1998,0,1,1,0,0,0,0,12.88022812,835000,3570,1200
230000,3,1,1530,389126,1.5,0,0,4,7,1530,0,1919,0,1,1,0,0,0,0,12.87165848,230000,1530,0
649950,3,2.5,3310,387684,1,0,0,3,8,2160,1,1919,1996,2,0,1,0,0,0,12.86794585,649950,3310,1150
438950,4,2.5,2470,385506,2,0,3,3,7,2470,0,1991,0,1,1,0,0,0,0,12.86231204,438950,2470,0
659000,3,2.5,3090,384634,2,0,0,3,8,3090,0,2007,0,1,1,0,0,0,1,12.86004751,659000,3090,0
649500,3,3,3730,383328,1.5,0,0,4,9,2230,1,1990,0,2,0,1,0,0,0,12.8566463,649500,3730,1500
560000,3,1.75,1480,383328,1.5,0,0,3,8,1480,0,1980,0,1,1,0,0,0,0,12.8566463,560000,1480,0
580000,3,2.5,1820,374616,2,0,0,3,7,1820,0,1999,0,1,1,0,0,0,0,12.83365678,580000,1820,0
355000,2,1,1350,368517,1,0,0,3,6,1350,0,1947,0,3,0,0,1,0,0,12.81724212,355000,1350,0
356000,2,1,1430,365904,1,0,0,3,7,1010,1,1991,0,2,0,1,0,0,0,12.81012628,356000,1430,420
979500,4,3.75,4133,361548,2,0,0,3,11,4133,0,2000,0,1,1,0,0,0,0,12.79815009,979500,4133,0
617000,3,1.75,3020,360241,2,0,0,3,8,3020,0,1992,0,3,0,0,1,0,0,12.79452853,617000,3020,0
430000,3,1.5,1810,349351,1.5,0,0,3,7,1810,0,2002,0,1,1,0,0,0,0,12.76383243,430000,1810,0
327000,3,1.5,1510,344124,1,0,2,4,7,1510,0,1964,0,1,1,0,0,0,0,12.74875734,327000,1510,0
590000,4,2,2490,339332,1,0,0,3,8,2490,0,2002,0,1,1,0,0,0,0,12.73473426,590000,2490,0
1129574,4,3.5,4070,336283,2,0,0,3,11,4070,0,2006,0,1,1,0,0,0,1,12.72570835,1700000,4070,0
432000,5,2.75,2060,329903,1.5,0,3,5,7,2060,0,1989,0,1,1,0,0,0,0,12.70655395,432000,2060,0
630000,3,2.5,2680,327135,2,0,0,3,8,2680,0,1995,0,1,1,0,0,0,0,12.69812821,630000,2680,0
765000,3,2.25,3190,324086,2,0,2,3,9,3190,0,1982,0,1,1,0,0,0,0,12.68876419,765000,3190,0
1129574,4,3.5,4234.5,323215,2,0,0,3,10,5370,0,2002,0,3,0,0,1,0,0,12.68607302,1570000,5370,0
800000,4,2.75,4234.5,322188,1,0,4,3,10,2400,1,1989,0,2,0,1,0,0,0,12.68289051,800000,4600,2200
525000,5,3.25,3960,321908,2,0,0,4,9,2690,1,1989,0,2,0,1,0,0,0,12.68202107,525000,3960,1270
1129574,4,5.25,4234.5,320917,2,0,2,3,10,5240,0,2006,0,1,1,0,0,0,1,12.6789378,1860000,5240,0
921500,4,2.5,3670,315374,2,0,0,4,9,3670,0,1994,0,3,0,0,1,0,0,12.66151452,921500,3670,0
408000,3,1.75,1600,313672,1,0,0,4,7,1600,0,1960,0,2,0,1,0,0,0,12.65610313,408000,1600,0
729000,3,4.25,3300,308080,2,0,2,4,9,2520,1,1976,0,3,0,0,1,0,0,12.63811477,729000,3300,780
1129574,7,8,4234.5,307752,3,0,4,3,12,9410,1,1999,0,2,0,1,0,0,0,12.63704954,2280000,13540,4130
210000,3,1,1340,306848,1,0,0,3,5,1340,0,1953,0,1,1,0,0,0,0,12.63410779,210000,1340,0
533050,2,1,910,295772,1,0,0,3,5,910,0,1953,0,2,0,1,0,0,0,12.59734417,533050,910,0
688000,4,3,3400,292723,2,0,0,3,10,3400,0,1998,0,2,0,1,0,0,0,12.58698205,688000,3400,0
411000,4,1.75,2250,292288,1,0,0,4,7,2250,0,1963,0,2,0,1,0,0,0,12.5854949,411000,2250,0
1129574,5,3.5,4090,290980,1,0,0,3,11,2920,1,2002,0,2,0,1,0,0,0,12.58100982,1290000,4090,1170
295000,2,1,820,288367,1,0,0,3,6,820,0,1930,1986,2,0,1,0,0,0,12.57198925,295000,820,0
250000,3,1.75,1628,286355,1,0,0,3,7,1628,0,1996,0,3,0,0,1,0,0,12.56498758,250000,1628,0
579000,3,2.5,3160,286181,2,0,3,3,9,3160,0,2002,0,1,1,0,0,0,0,12.56437976,579000,3160,0
760000,4,2.75,3980,285318,2,0,2,3,9,3980,0,2006,0,2,0,1,0,0,1,12.56135963,760000,3980,0
1010000,4,4.5,4225,284011,2,0,0,4,11,4225,0,1985,0,3,0,0,1,0,0,12.55676825,1010000,4225,0
649000,2,1.75,2260,280962,2,0,2,3,9,1890,1,2005,0,1,1,0,0,0,1,12.54597471,649000,2260,370
1129574,5,6,4234.5,279968,2,0,3,3,12,4070,1,2007,0,2,0,1,0,0,1,12.54243059,1490000,6880,2810
565000,2,1.75,1130,276170,1,0,0,3,8,1130,0,2006,0,1,1,0,0,0,1,12.5287719,565000,1130,0
950000,3,2.5,2780,275033,1,0,0,3,10,2780,0,2006,0,2,0,1,0,0,1,12.52464637,950000,2780,0
467500,3,1.75,2040,273556,1,0,0,3,7,2040,0,1997,0,3,0,0,1,0,0,12.51926163,350000,1980,940
350000,3,1.75,1980,273556,1,0,0,3,6,1040,1,1956,1999,2,0,1,0,0,0,12.51926163,467500,2040,0
1040000,4,4.5,4234.5,270236,2,0,3,3,10,3820,1,2006,0,2,0,1,0,0,1,12.50705093,1040000,4920,1100
833450,5,4,4234.5,269345,2,0,4,3,9,3330,1,1996,0,1,1,0,0,0,0,12.50374836,833450,4460,1130
353000,4,2.75,2200,268329,1,0,0,3,7,1410,1,1989,0,3,0,0,1,0,0,12.49996912,353000,2200,790
549950,3,1.75,2930,266587,2,0,0,3,8,2440,1,1995,0,1,1,0,0,0,0,12.49345592,549950,2930,490
510000,3,2,2350,266151,1.5,0,0,3,7,2350,0,1983,0,1,1,0,0,0,0,12.4918191,510000,2350,0
568000,4,1.75,2110,265716,1,0,0,4,8,2110,0,1979,0,2,0,1,0,0,0,12.49018335,568000,2110,0
524500,3,1.5,3430,264844,1,0,2,3,7,2230,1,1988,0,2,0,1,0,0,0,12.48689625,524500,3430,1200
1070000,3,2.5,3970,263538,1.5,0,0,3,9,3970,0,1991,0,1,1,0,0,0,0,12.48195285,1070000,3970,0
1129574,4,3.25,4234.5,262666,2,0,0,3,11,4400,0,1988,0,3,0,0,1,0,0,12.47863854,1150000,4400,0
550000,5,1,2150,262231,1.5,0,0,3,7,2150,0,1900,2000,2,0,1,0,0,0,12.47698107,550000,2150,0
390000,4,3,2570,262018,1,0,0,3,7,1420,1,1988,0,2,0,1,0,0,0,12.47616848,390000,2570,1150
950000,5,3,4234.5,258746,1.5,0,0,4,9,3200,1,2003,0,3,0,0,1,0,1,12.46360216,950000,4530,1330
650000,3,2,2660,257875,1,0,2,4,8,1530,1,1976,0,1,1,0,0,0,0,12.46023025,361550,1160,0
361550,3,1.75,1160,257875,1,0,0,2,7,1160,0,1980,0,2,0,1,0,0,0,12.46023025,650000,2660,1130
875000,4,2.5,3230,256132,2,0,0,3,9,3230,0,2006,0,2,0,1,0,0,1,12.45344822,875000,3230,0
820000,4,2.5,2920,252648,2,0,0,3,10,2920,0,2002,0,1,1,0,0,0,0,12.43975249,820000,2920,0
777700,3,2.5,2260,251460,1.5,0,0,3,10,2260,0,1995,0,3,0,0,1,0,0,12.43503921,777700,2260,0
439000,3,2,2010,251341,2,0,0,3,8,1510,1,2003,0,1,1,0,0,0,1,12.43456586,439000,2010,500
390000,3,1.75,2092,250905,1,0,0,3,7,2092,0,1981,0,1,1,0,0,0,0,12.43282966,390000,2092,0
350000,3,1.75,1680,250470,1,0,0,4,7,1070,1,1940,0,1,1,0,0,0,0,12.43109443,350000,1680,610
420000,3,1.75,1444,249126,1.5,0,0,3,7,1444,0,2008,0,3,0,0,1,0,1,12.42571407,420000,1444,0
487000,6,3.25,4234.5,248600,2,0,0,4,8,4750,0,1947,0,1,1,0,0,0,0,12.42360046,487000,4750,0
712000,4,2.5,3400,247421,2,0,0,3,9,3400,0,2001,0,1,1,0,0,0,0,12.41884662,712000,3400,0
739000,4,2.5,2800,246114,2,0,0,3,9,2800,0,1999,0,1,1,0,0,0,0,12.41355012,739000,2800,0
675000,4,2.5,3320,244807,2,0,0,3,9,3320,0,2001,0,1,1,0,0,0,0,12.40822542,675000,3320,0
1129574,6,4.25,4234.5,244716,2,0,0,4,9,4820,1,2002,0,3,0,0,1,0,0,12.40785363,1140000,6900,2080
590000,3,1.75,1560,242629,1,0,0,3,7,1560,0,1981,0,2,0,1,0,0,0,12.39928881,590000,1560,0
775000,4,3.25,4100,241322,2,0,0,3,9,2500,1,1981,0,3,0,0,1,0,0,12.39388742,775000,4100,1600
775000,3,2.5,2620,241200,1.5,0,0,4,9,2620,0,1998,0,1,1,0,0,0,0,12.39338174,775000,2620,0
850000,4,2.75,4234.5,239580,1,0,0,2,9,2720,1,1969,0,1,1,0,0,0,0,12.38664267,850000,5440,2720
234000,3,1,1240,239144,1,0,0,3,6,1240,0,1921,1992,2,0,1,0,0,0,12.38482116,234000,1240,0
905000,3,2.5,3520,237402,2.5,0,0,3,9,3520,0,2004,0,3,0,0,1,0,1,12.37751019,905000,3520,0
600000,3,2,2540,237402,1,0,0,3,9,2540,0,2007,0,1,1,0,0,0,1,12.37751019,600000,2540,0
568000,3,1.75,1760,235224,1,0,0,3,7,1760,0,1973,0,2,0,1,0,0,0,12.36829353,568000,1760,0
293000,4,2.5,3250,235063,1,0,2,3,9,3250,0,1973,0,3,0,0,1,0,0,12.36760884,293000,3250,0
721500,3,3.25,2970,234788,2,0,3,3,9,2040,1,1991,0,1,1,0,0,0,0,12.36643826,721500,2970,930
475000,4,3.5,3400,234352,2,0,0,3,8,2500,1,1991,0,3,0,0,1,0,0,12.36457954,475000,3400,900
435000,3,2,2570,233481,1.5,0,0,4,8,2570,0,1986,0,2,0,1,0,0,0,12.36085598,435000,2570,0
780000,4,2.75,3640,231739,1.5,0,0,3,10,3640,0,1999,0,1,1,0,0,0,0,12.35336702,780000,3640,0
413100,3,2.25,1790,231303,1,0,0,3,7,1250,1,1980,0,3,0,0,1,0,0,12.35148382,413100,1790,540
1129574,5,5.75,4234.5,230868,2,0,0,3,12,6660,1,2004,0,3,0,0,1,0,1,12.3496014,599000,2790,0
599000,4,2.5,2790,230868,2,0,0,3,8,2790,0,1989,0,3,0,0,1,0,0,12.3496014,1920000,7730,1070
1129574,6,5,4234.5,230652,2,0,3,3,11,6050,0,2001,0,1,1,0,0,0,0,12.34866536,1600000,6050,0
475000,3,1.5,1790,229125,2,0,3,3,7,1790,0,1987,0,1,1,0,0,0,0,12.34202299,475000,1790,0
640000,6,2,2840,228690,1.5,0,0,3,6,2720,1,1948,0,1,1,0,0,0,0,12.34012265,640000,2840,120
540000,4,2.25,2540,228254,1,0,0,3,8,1450,1,1990,0,1,1,0,0,0,0,12.33821432,540000,2540,1090
819000,3,2.5,2750,226512,2,0,0,3,9,2750,0,2000,0,3,0,0,1,0,0,12.3305532,819000,2750,0
442500,5,3.25,4234.5,226097,2,0,0,3,8,3410,1,1980,0,2,0,1,0,0,0,12.32871939,442500,4240,830
900000,5,3.75,4130,226076,2,0,0,3,9,3170,1,1985,0,3,0,0,1,0,0,12.3286265,900000,4130,960
400000,2,1.75,1800,224769,1,0,0,3,7,1420,1,1950,2008,2,0,1,0,0,0,12.32282849,400000,1800,380
535000,2,1.75,1780,224769,1,0,0,4,8,1780,0,1976,0,2,0,1,0,0,0,12.32282849,535000,1780,0
1129574,3,3.25,4234.5,224442,2,0,0,4,11,4540,1,1988,0,2,0,1,0,0,0,12.3213726,1690000,5290,750
1129574,3,3.25,4234.5,224442,2,0,0,4,11,4540,1,1988,0,2,0,1,0,0,0,12.3213726,1800000,5290,750
475000,2,1.75,1490,224334,1,0,2,3,8,1490,0,1983,0,3,0,0,1,0,0,12.32089129,475000,1490,0
365000,2,1,960,223898,1,0,0,3,6,960,0,1985,0,1,1,0,0,0,0,12.31894587,365000,960,0
753000,3,2.5,3070,223463,2,0,0,3,9,3070,0,2003,0,2,0,1,0,0,1,12.31700113,753000,3070,0
1129574,4,5.75,4234.5,223462,2,0,4,3,12,6220,1,2000,0,2,0,1,0,0,0,12.31699666,472500,2960,0
472500,4,2.5,2960,223462,2,0,0,3,10,2960,0,2001,0,1,1,0,0,0,0,12.31699666,1940000,7220,1000
220000,3,1,1000,223462,1,0,2,4,6,1000,0,1933,0,1,1,0,0,0,0,12.31699666,220000,1000,0
439950,3,1.75,1720,223377,1,0,0,3,7,1240,1,1950,0,1,1,0,0,0,0,12.31661621,439950,1720,480
579000,3,2.75,2660,223027,1,0,0,3,8,1330,1,1962,2015,2,0,1,0,0,0,12.31504812,920000,2590,0
920000,3,2.75,2590,223027,2,0,0,3,9,2590,0,1983,0,3,0,0,1,0,0,12.31504812,579000,2660,1330
650000,4,2.5,3420,222156,2,0,0,3,9,3420,0,2002,0,1,1,0,0,0,0,12.31113512,650000,3420,0
474950,3,2,2250,222156,1,0,0,3,7,2250,0,1987,0,2,0,1,0,0,0,12.31113512,474950,2250,0
610000,3,1.75,1650,221720,1,0,0,3,7,1650,0,1992,0,1,1,0,0,0,0,12.3091706,610000,1650,0
800000,3,3.5,3830,221284,2,0,0,3,10,3530,1,1993,0,3,0,0,1,0,0,12.30720222,800000,3830,300
530000,3,2.25,2190,220414,1,0,0,4,7,1330,1,1976,0,2,0,1,0,0,0,12.30326288,530000,2190,860
620000,4,2.5,1840,220308,2,0,0,3,8,1840,0,2000,0,2,0,1,0,0,0,12.30278185,620000,1840,0
695000,3,2.25,2600,220300,1.5,0,0,5,8,2120,1,1977,0,1,1,0,0,0,0,12.30274553,695000,2600,480
685000,3,2.75,3150,219978,2,0,0,4,9,3000,1,1990,0,1,1,0,0,0,0,12.30128282,350000,1250,0
685000,3,2.5,2320,219978,2,0,0,4,8,2320,0,1993,0,2,0,1,0,0,0,12.30128282,685000,3150,150
515000,3,2.5,2130,219978,2,0,0,3,8,2130,0,1986,0,3,0,0,1,0,0,12.30128282,685000,2320,0
350000,3,1.5,1250,219978,1,0,0,4,6,1250,0,1980,0,2,0,1,0,0,0,12.30128282,515000,2130,0
1129574,6,4.5,4234.5,219542,2,0,0,3,11,4100,1,1996,0,1,1,0,0,0,0,12.29929884,510000,2750,880
510000,3,2.25,2750,219542,2,0,0,3,7,1870,1,1981,0,1,1,0,0,0,0,12.29929884,1150000,6040,1940
365000,4,2.5,1620,219542,2,0,0,3,7,1620,0,1980,0,2,0,1,0,0,0,12.29929884,365000,1620,0
520000,3,1.75,1940,219527,1,0,0,3,7,1940,0,1991,0,2,0,1,0,0,0,12.29923051,520000,1940,0
865000,3,3.75,3830,219106,2,0,0,3,9,3830,0,1977,1999,1,1,0,0,0,0,12.29731091,352500,2300,460
352500,4,2.5,2300,219106,1,0,0,4,7,1840,1,1958,0,2,0,1,0,0,0,12.29731091,865000,3830,0
725000,4,2.5,3750,218506,2,0,0,3,10,3750,0,1991,0,3,0,0,1,0,0,12.29456875,725000,3750,0
487500,5,3.5,3530,218472,2,0,0,3,7,2380,1,1999,0,1,1,0,0,0,0,12.29441314,487500,3530,1150
330000,3,2,1400,218252,1,0,0,3,7,1400,0,1997,0,1,1,0,0,0,0,12.29340564,330000,1400,0
590000,3,2.5,3360,218235,1,0,0,3,8,3360,0,1989,0,1,1,0,0,0,0,12.29332774,590000,3360,0
710000,3,2.75,2930,218235,2,0,2,3,8,2930,0,1990,0,1,1,0,0,0,0,12.29332774,710000,2930,0
897500,4,3,4234.5,217882,2,0,0,3,10,4370,0,1984,0,2,0,1,0,0,0,12.29170891,897500,4370,0
314000,3,1.75,1350,217852,1,0,0,3,8,1100,1,1953,0,1,1,0,0,0,0,12.29157121,314000,1350,250
565000,3,2.5,2030,217805,1,0,0,3,9,2030,0,1999,0,3,0,0,1,0,0,12.29135545,565000,2030,0
1129574,5,4,4234.5,217800,2,0,0,3,11,7320,0,1992,0,2,0,1,0,0,0,12.29133249,505000,1830,820
1129574,4,3.5,4234.5,217800,2,0,0,3,11,4340,0,2003,0,2,0,1,0,0,1,12.29133249,540000,2000,0
900000,4,3,3810,217800,2,0,0,3,9,3810,0,2003,0,3,0,0,1,0,1,12.29133249,1190000,4340,0
1129574,4,3,3310,217800,1.5,0,0,3,9,3310,0,1989,0,2,0,1,0,0,0,12.29133249,529000,1940,0
559000,3,2.5,3110,217800,2,0,0,3,9,3110,0,2001,0,3,0,0,1,0,0,12.29133249,290000,1120,0
570000,4,3,2710,217800,2.5,0,0,3,9,2710,0,2006,0,1,1,0,0,0,1,12.29133249,559000,3110,0
608000,3,2,2400,217800,2,0,0,3,8,1590,1,1975,0,2,0,1,0,0,0,12.29133249,900000,3810,0
587000,3,2.25,2370,217800,2,0,0,3,7,2370,0,1979,0,2,0,1,0,0,0,12.29133249,1250000,3310,0
543000,2,2,2370,217800,1.5,0,0,3,7,1600,1,1992,0,1,1,0,0,0,0,12.29133249,440000,1860,0
480000,5,1.75,2080,217800,1,0,0,5,7,2080,0,1963,0,3,0,0,1,0,0,12.29133249,395000,2030,0
395000,3,1.75,2030,217800,1,0,2,4,8,2030,0,1977,0,3,0,0,1,0,0,12.29133249,543000,2370,770
540000,3,2.25,2000,217800,2,0,0,3,8,2000,0,1996,0,1,1,0,0,0,0,12.29133249,570000,2710,0
529000,3,2.25,1940,217800,2,0,0,3,9,1940,0,1990,0,1,1,0,0,0,0,12.29133249,480000,2080,0
440000,3,2,1860,217800,2,0,2,3,8,1860,0,1998,0,2,0,1,0,0,0,12.29133249,587000,2370,0
505000,3,1.5,1830,217800,1,0,0,3,7,1010,1,1981,0,2,0,1,0,0,0,12.29133249,608000,2400,810
290000,2,1,1120,217800,1,0,0,3,6,1120,0,1976,0,1,1,0,0,0,0,12.29133249,1140000,7320,0
900000,3,3.5,4080,217697,1.5,0,3,3,10,4080,0,2000,0,3,0,0,1,0,0,12.29085947,900000,4080,0
1129574,4,5.5,4234.5,217374,1,0,0,3,11,5400,1,2006,0,2,0,1,0,0,1,12.28937465,1500000,6550,1150
404950,4,2.25,2340,217014,1,0,0,4,8,2340,0,1982,0,3,0,0,1,0,0,12.28771715,404950,2340,0
560000,3,2,2560,216777,1,0,0,3,8,2560,0,1986,0,3,0,0,1,0,0,12.28662445,560000,2560,0
560000,3,2.5,2840,216493,2,0,0,3,9,2840,0,1991,0,1,1,0,0,0,0,12.28531349,585000,2220,0
585000,3,1.75,2220,216493,1,0,2,3,8,2220,0,1989,0,1,1,0,0,0,0,12.28531349,560000,2840,0
345000,2,2.5,2550,216344,2.5,0,0,3,7,2550,0,1993,0,3,0,0,1,0,0,12.28462501,345000,2550,0
390000,3,1.75,1220,216332,1,0,0,3,7,1220,0,1981,0,1,1,0,0,0,0,12.28456954,390000,1220,0
500000,3,2.25,2990,216057,2,0,0,3,9,2990,0,1994,0,1,1,0,0,0,0,12.28329754,500000,2990,0
490000,3,1.75,2020,215622,2,0,0,4,7,2020,0,1975,0,3,0,0,1,0,0,12.28128215,490000,2020,0
1129574,4,4.25,4234.5,215186,2,0,3,3,11,2630,1,2009,0,1,1,0,0,0,1,12.27925805,640000,4090,420
640000,4,2.5,4090,215186,2,0,0,4,8,3670,1,1979,0,3,0,0,1,0,0,12.27925805,396400,2120,0
396400,4,2.5,2120,215186,2,0,0,2,7,2120,0,1983,0,1,1,0,0,0,0,12.27925805,1830000,4500,1870
678500,4,3,2620,214750,2,0,0,3,8,2620,0,1992,0,2,0,1,0,0,0,12.27722984,678500,2620,0
400000,3,2.5,2580,214315,1.5,0,0,3,8,2580,0,1946,1986,2,0,1,0,0,0,12.27520217,643000,1780,0
446250,3,2.5,2380,214315,1.5,0,0,3,9,2380,0,2000,0,2,0,1,0,0,0,12.27520217,446250,2380,0
643000,3,1.5,1780,214315,1,0,0,3,7,1780,0,1954,0,3,0,0,1,0,0,12.27520217,400000,2580,0
549900,4,3,2830,213879,2,0,0,4,8,2830,0,1987,0,3,0,0,1,0,0,12.27316571,364250,2280,0
364250,3,2.5,2280,213879,2,0,0,3,8,2280,0,1994,0,2,0,1,0,0,0,12.27316571,549900,2830,0
579950,4,2.5,2880,213444,1,0,0,5,8,2140,1,1984,0,3,0,0,1,0,0,12.27112978,425000,1520,0
425000,3,1,1520,213444,1.5,0,3,5,8,1520,0,1988,0,1,1,0,0,0,0,12.27112978,579950,2880,740
265000,0,0.75,384,213444,1,0,0,3,4,384,0,2003,0,3,0,0,1,0,1,12.27112978,265000,384,0
780000,4,3.5,3720,213073,1,0,2,3,10,3720,0,2007,0,1,1,0,0,0,1,12.26939011,780000,3720,0
500000,4,2.75,3000,213008,1,0,0,4,8,3000,0,1975,0,2,0,1,0,0,0,12.269085,415000,2210,1000
415000,4,2.5,2210,213008,1,0,0,4,7,1210,1,1975,0,2,0,1,0,0,0,12.269085,430000,1440,0
506000,3,2.5,2100,213008,1,0,0,3,8,2100,0,1990,0,3,0,0,1,0,0,12.269085,506000,2100,0
568000,3,1.75,1930,213008,1,0,2,3,7,1300,1,1980,0,2,0,1,0,0,0,12.269085,500000,3000,0
430000,2,2,1440,213008,2,0,0,4,7,1440,0,1990,0,3,0,0,1,0,0,12.269085,568000,1930,630
200000,3,1,960,213008,1,0,0,2,6,960,0,1933,0,1,1,0,0,0,0,12.269085,200000,960,0
598600,4,2.75,3470,212639,2,0,0,3,7,2070,1,1993,0,1,1,0,0,0,0,12.26735117,598600,3470,1400
750000,5,3.5,2990,212137,2,0,0,3,8,2450,1,1994,0,1,1,0,0,0,0,12.26498757,150000,720,0
620000,3,2.25,2520,212137,2,0,0,3,9,1590,1,2005,0,1,1,0,0,0,1,12.26498757,620000,2520,930
150000,2,1,720,212137,1,0,0,3,5,720,0,1982,0,2,0,1,0,0,0,12.26498757,750000,2990,540
362000,1,1,890,211576,1.5,0,0,3,7,890,0,1996,0,1,1,0,0,0,0,12.26233955,362000,890,0
530000,3,3,2450,211266,1.5,0,3,3,8,2450,0,2004,0,1,1,0,0,0,1,12.26087328,530000,2450,0
